++average   	++position_x	++position_y	++radius    	++flow      	
$$0.18050	$$190.00000	$$157.00000	$$8.00000	$$-11.65000	
$$0.18211	$$190.00000	$$157.00000	$$8.00000	$$-9.72000	
$$0.18384	$$190.00000	$$157.00000	$$8.00000	$$-8.72000	
$$0.18282	$$190.00000	$$157.00000	$$8.00000	$$-7.30000	
$$0.18076	$$190.00000	$$157.00000	$$8.00000	$$-7.57000	
$$0.17903	$$190.00000	$$157.00000	$$8.00000	$$-7.36000	
$$0.18076	$$190.00000	$$157.00000	$$8.00000	$$-7.00000	
$$0.18070	$$190.00000	$$157.00000	$$8.00000	$$-5.49000	
$$0.17819	$$190.00000	$$157.00000	$$8.00000	$$-5.42000	
$$0.17582	$$190.00000	$$157.00000	$$8.00000	$$-5.53000	
$$0.17453	$$190.00000	$$157.00000	$$8.00000	$$-4.15000	
$$0.17338	$$190.00000	$$157.00000	$$8.00000	$$-1.51000	
$$0.17428	$$190.00000	$$157.00000	$$8.00000	$$9.90000	
$$0.17004	$$190.00000	$$157.00000	$$8.00000	$$12.32000	
$$0.16625	$$190.00000	$$157.00000	$$8.00000	$$17.79000	
$$0.15623	$$190.00000	$$157.00000	$$8.00000	$$16.25000	
$$0.13556	$$190.00000	$$158.00000	$$6.00000	$$13.65000	
$$0.12252	$$190.00000	$$157.00000	$$8.00000	$$12.31000	
$$0.11809	$$190.00000	$$157.00000	$$8.00000	$$12.44000	
$$0.11385	$$190.00000	$$157.00000	$$8.00000	$$9.62000	
$$0.10769	$$190.00000	$$157.00000	$$8.00000	$$8.82000	
$$0.10525	$$190.00000	$$157.00000	$$8.00000	$$9.03000	
$$0.10473	$$190.00000	$$157.00000	$$8.00000	$$9.12000	
$$0.10422	$$190.00000	$$157.00000	$$8.00000	$$4.03000	
$$0.10236	$$190.00000	$$157.00000	$$8.00000	$$0.00000	
$$0.13530	$$188.00000	$$157.00000	$$8.00000	$$0.00000	
$$0.13491	$$188.00000	$$157.00000	$$8.00000	$$0.00000	
$$0.09985	$$190.00000	$$157.00000	$$8.00000	$$-2.24000	
$$0.10114	$$190.00000	$$157.00000	$$8.00000	$$-2.36000	
$$0.10017	$$190.00000	$$157.00000	$$8.00000	$$-2.36000	
$$0.10165	$$190.00000	$$157.00000	$$8.00000	$$-3.07000	
$$0.13774	$$188.00000	$$157.00000	$$8.00000	$$-3.88000	
$$0.10082	$$190.00000	$$157.00000	$$8.00000	$$-5.43000	
$$0.13658	$$188.00000	$$157.00000	$$8.00000	$$-6.27000	
$$0.12971	$$188.00000	$$157.00000	$$8.00000	$$-6.62000	
$$0.13055	$$188.00000	$$157.00000	$$8.00000	$$-6.82000	
$$0.13055	$$188.00000	$$157.00000	$$8.00000	$$-7.32000	
$$0.12926	$$188.00000	$$157.00000	$$8.00000	$$-7.22000	
$$0.12657	$$188.00000	$$157.00000	$$8.00000	$$-7.38000	
$$0.12811	$$188.00000	$$157.00000	$$8.00000	$$-7.51000	
$$0.12689	$$188.00000	$$157.00000	$$8.00000	$$-6.71000	
$$0.13215	$$188.00000	$$157.00000	$$8.00000	$$-6.97000	
$$0.13157	$$188.00000	$$157.00000	$$8.00000	$$-6.87000	
$$0.13145	$$188.00000	$$157.00000	$$8.00000	$$-6.79000	
